,Date,Valor,Acao
0,2012-08-27 00:00:00-03:00,22.149999618530277,Neutro
1,2012-08-28 00:00:00-03:00,22.049999237060547,Neutro
2,2012-08-29 00:00:00-03:00,21.96999931335449,Neutro
3,2012-08-30 00:00:00-03:00,21.709999084472656,Neutro
4,2012-08-31 00:00:00-03:00,21.299999237060547,Compra
5,2012-09-03 00:00:00-03:00,21.399999618530277,Compra
6,2012-09-04 00:00:00-03:00,21.100000381469727,Compra
7,2012-09-05 00:00:00-03:00,21.299999237060547,Compra
8,2012-09-06 00:00:00-03:00,21.84000015258789,Compra
9,2012-09-10 00:00:00-03:00,21.84000015258789,Neutro
10,2012-09-11 00:00:00-03:00,22.479999542236328,Neutro
11,2012-09-12 00:00:00-03:00,22.8799991607666,Venda
12,2012-09-13 00:00:00-03:00,23.899999618530277,Venda
13,2012-09-14 00:00:00-03:00,24.350000381469727,Venda
14,2012-09-17 00:00:00-03:00,24.149999618530277,Venda
15,2012-09-18 00:00:00-03:00,24.059999465942383,Venda
16,2012-09-19 00:00:00-03:00,23.399999618530277,Neutro
17,2012-09-20 00:00:00-03:00,23.600000381469727,Neutro
18,2012-09-21 00:00:00-03:00,23.450000762939453,Neutro
19,2012-09-24 00:00:00-03:00,23.709999084472656,Neutro
20,2012-09-25 00:00:00-03:00,23.5,Neutro
21,2012-09-26 00:00:00-03:00,23.600000381469727,Neutro
22,2012-09-27 00:00:00-03:00,23.57999992370605,Neutro
23,2012-09-28 00:00:00-03:00,23.299999237060547,Neutro
24,2012-10-01 00:00:00-03:00,23.350000381469727,Neutro
25,2012-10-02 00:00:00-03:00,23.530000686645508,Neutro
26,2012-10-03 00:00:00-03:00,23.170000076293945,Compra
27,2012-10-04 00:00:00-03:00,23.25,Compra
28,2012-10-05 00:00:00-03:00,23.100000381469727,Compra
29,2012-10-08 00:00:00-03:00,23.309999465942383,Compra
30,2012-10-09 00:00:00-03:00,23.100000381469727,Compra
31,2012-10-10 00:00:00-03:00,22.950000762939453,Venda
32,2012-10-11 00:00:00-03:00,23.350000381469727,Venda
33,2012-10-15 00:00:00-03:00,23.68000030517578,Venda
34,2012-10-16 00:00:00-03:00,23.68000030517578,Venda
35,2012-10-17 00:00:00-03:00,23.450000762939453,Venda
36,2012-10-18 00:00:00-03:00,23.5,Neutro
37,2012-10-19 00:00:00-03:00,23.030000686645508,Neutro
38,2012-10-22 00:00:00-02:00,22.950000762939453,Neutro
39,2012-10-23 00:00:00-02:00,22.5,Neutro
40,2012-10-24 00:00:00-02:00,22.270000457763672,Neutro
41,2012-10-25 00:00:00-02:00,22.520000457763672,Neutro
42,2012-10-26 00:00:00-02:00,22.88999938964844,Neutro
43,2012-10-29 00:00:00-02:00,22.100000381469727,Neutro
44,2012-10-30 00:00:00-02:00,22.299999237060547,Neutro
45,2012-10-31 00:00:00-02:00,21.5,Neutro
46,2012-11-01 00:00:00-02:00,21.649999618530277,Neutro
47,2012-11-05 00:00:00-02:00,22.0,Neutro
48,2012-11-06 00:00:00-02:00,22.440000534057617,Neutro
49,2012-11-07 00:00:00-02:00,21.88999938964844,Neutro
50,2012-11-08 00:00:00-02:00,21.26000022888184,Neutro
51,2012-11-09 00:00:00-02:00,21.440000534057617,Neutro
52,2012-11-12 00:00:00-02:00,21.06999969482422,Neutro
53,2012-11-13 00:00:00-02:00,21.11000061035156,Neutro
54,2012-11-14 00:00:00-02:00,20.399999618530277,Neutro
55,2012-11-16 00:00:00-02:00,19.6200008392334,Compra
56,2012-11-19 00:00:00-02:00,19.75,Compra
57,2012-11-21 00:00:00-02:00,19.200000762939453,Compra
58,2012-11-22 00:00:00-02:00,19.25,Compra
59,2012-11-23 00:00:00-02:00,19.81999969482422,Compra
60,2012-11-26 00:00:00-02:00,19.3700008392334,Neutro
61,2012-11-27 00:00:00-02:00,19.06999969482422,Neutro
62,2012-11-28 00:00:00-02:00,19.200000762939453,Neutro
63,2012-11-29 00:00:00-02:00,19.530000686645508,Neutro
64,2012-11-30 00:00:00-02:00,19.100000381469727,Neutro
65,2012-12-03 00:00:00-02:00,19.43000030517578,Neutro
66,2012-12-04 00:00:00-02:00,19.15999984741211,Neutro
67,2012-12-05 00:00:00-02:00,19.290000915527344,Neutro
68,2012-12-06 00:00:00-02:00,19.040000915527344,Neutro
69,2012-12-07 00:00:00-02:00,19.450000762939453,Venda
70,2012-12-10 00:00:00-02:00,19.93000030517578,Venda
71,2012-12-11 00:00:00-02:00,20.239999771118164,Venda
72,2012-12-12 00:00:00-02:00,20.059999465942383,Venda
73,2012-12-13 00:00:00-02:00,19.770000457763672,Venda
74,2012-12-14 00:00:00-02:00,20.549999237060547,Neutro
75,2012-12-17 00:00:00-02:00,20.21999931335449,Neutro
76,2012-12-18 00:00:00-02:00,20.399999618530277,Neutro
77,2012-12-19 00:00:00-02:00,21.1299991607666,Neutro
78,2012-12-20 00:00:00-02:00,21.270000457763672,Neutro
79,2012-12-21 00:00:00-02:00,20.8799991607666,Compra
80,2012-12-26 00:00:00-02:00,20.190000534057617,Compra
81,2012-12-27 00:00:00-02:00,19.5,Compra
82,2012-12-28 00:00:00-02:00,19.549999237060547,Compra
83,2013-01-02 00:00:00-02:00,19.84000015258789,Compra
84,2013-01-03 00:00:00-02:00,20.57999992370605,Neutro
85,2013-01-04 00:00:00-02:00,20.649999618530277,Neutro
86,2013-01-07 00:00:00-02:00,20.3799991607666,Neutro
87,2013-01-08 00:00:00-02:00,19.799999237060547,Neutro
88,2013-01-09 00:00:00-02:00,20.0,Neutro
89,2013-01-10 00:00:00-02:00,20.1299991607666,Neutro
90,2013-01-11 00:00:00-02:00,20.18000030517578,Neutro
91,2013-01-14 00:00:00-02:00,20.059999465942383,Venda
92,2013-01-15 00:00:00-02:00,20.1299991607666,Venda
93,2013-01-16 00:00:00-02:00,20.200000762939453,Venda
94,2013-01-17 00:00:00-02:00,20.059999465942383,Venda
95,2013-01-18 00:00:00-02:00,19.899999618530277,Venda
96,2013-01-21 00:00:00-02:00,19.709999084472656,Neutro
97,2013-01-22 00:00:00-02:00,19.96999931335449,Neutro
98,2013-01-23 00:00:00-02:00,19.82999992370605,Neutro
99,2013-01-24 00:00:00-02:00,19.920000076293945,Neutro
100,2013-01-28 00:00:00-02:00,19.600000381469727,Neutro
101,2013-01-29 00:00:00-02:00,19.34000015258789,Neutro
102,2013-01-30 00:00:00-02:00,18.350000381469727,Neutro
103,2013-01-31 00:00:00-02:00,18.229999542236328,Neutro
104,2013-02-01 00:00:00-02:00,18.6200008392334,Neutro
105,2013-02-04 00:00:00-02:00,18.100000381469727,Neutro
106,2013-02-05 00:00:00-02:00,16.600000381469727,Neutro
107,2013-02-06 00:00:00-02:00,16.389999389648438,Neutro
108,2013-02-07 00:00:00-02:00,16.100000381469727,Neutro
109,2013-02-08 00:00:00-02:00,16.0,Neutro
110,2013-02-13 00:00:00-02:00,15.869999885559082,Neutro
111,2013-02-14 00:00:00-02:00,15.789999961853027,Neutro
112,2013-02-15 00:00:00-02:00,15.699999809265137,Neutro
113,2013-02-18 00:00:00-03:00,15.970000267028809,Neutro
114,2013-02-19 00:00:00-03:00,15.949999809265137,Neutro
115,2013-02-20 00:00:00-03:00,15.520000457763672,Neutro
116,2013-02-21 00:00:00-03:00,15.170000076293944,Compra
117,2013-02-22 00:00:00-03:00,15.100000381469728,Compra
118,2013-02-25 00:00:00-03:00,14.899999618530272,Compra
119,2013-02-26 00:00:00-03:00,14.699999809265137,Compra
120,2013-02-27 00:00:00-03:00,14.729999542236328,Compra
121,2013-02-28 00:00:00-03:00,14.489999771118164,Neutro
122,2013-03-01 00:00:00-03:00,14.68000030517578,Neutro
123,2013-03-04 00:00:00-03:00,14.229999542236328,Neutro
124,2013-03-05 00:00:00-03:00,14.25,Neutro
125,2013-03-06 00:00:00-03:00,16.40999984741211,Neutro
126,2013-03-07 00:00:00-03:00,17.219999313354492,Neutro
127,2013-03-08 00:00:00-03:00,16.700000762939453,Neutro
128,2013-03-11 00:00:00-03:00,17.190000534057617,Neutro
129,2013-03-12 00:00:00-03:00,16.940000534057617,Neutro
130,2013-03-13 00:00:00-03:00,16.899999618530273,Venda
