,Fechamento baixa,Data baixa,Fechamento alta,Data alta,ticker
0,14.995843887329102,2005-04-06,19.09364891052246,2005-03-30,AMER3.SA
1,14.218673706054688,2005-05-11,17.468656539916992,2005-04-22,AMER3.SA
2,13.07058334350586,2005-05-16,16.55901527404785,2005-06-02,AMER3.SA
3,15.013506889343262,2005-06-06,16.51485824584961,2005-06-17,AMER3.SA
4,15.54339599609375,2005-06-30,17.53047752380371,2005-07-13,AMER3.SA
5,18.369468688964844,2005-07-25,21.10722541809082,2005-08-04,AMER3.SA
6,20.31239128112793,2005-08-11,22.723384857177734,2005-08-25,AMER3.SA
7,22.25531768798828,2005-08-26,24.38370132446289,2005-09-16,AMER3.SA
8,23.659521102905273,2005-09-19,28.693462371826172,2005-10-07,AMER3.SA
9,26.317794799804688,2005-10-18,27.37757110595703,2005-10-10,AMER3.SA
10,28.30487632751465,2005-11-11,30.027015686035156,2005-11-07,AMER3.SA
11,30.380273818969727,2005-11-24,40.88972854614258,2005-12-13,AMER3.SA
12,35.76747131347656,2005-12-23,38.858489990234375,2005-12-15,AMER3.SA
13,37.00387954711914,2006-01-06,43.009281158447266,2006-01-26,AMER3.SA
14,40.97804260253906,2006-02-07,51.31086730957031,2006-02-16,AMER3.SA
15,42.479393005371094,2006-03-08,51.929073333740234,2006-02-17,AMER3.SA
16,43.724632263183594,2006-03-21,46.992279052734375,2006-03-24,AMER3.SA
17,47.2042350769043,2006-04-19,51.23138427734375,2006-04-06,AMER3.SA
18,46.36524200439453,2006-05-04,50.295249938964844,2006-04-26,AMER3.SA
19,34.88432693481445,2006-05-24,44.15737533569336,2006-05-12,AMER3.SA
20,31.175106048583984,2006-06-13,39.30006408691406,2006-06-02,AMER3.SA
21,36.03241729736328,2006-06-28,40.624786376953125,2006-07-04,AMER3.SA
22,33.33881759643555,2006-08-03,36.915565490722656,2006-07-28,AMER3.SA
23,32.85308837890625,2006-08-04,39.27356719970703,2006-08-16,AMER3.SA
24,38.41691589355469,2006-08-25,41.94950485229492,2006-09-08,AMER3.SA
25,35.32590103149414,2006-10-05,39.29123306274414,2006-09-15,AMER3.SA
26,34.49574279785156,2006-10-06,38.858489990234375,2006-10-24,AMER3.SA
27,37.00387954711914,2006-10-27,42.39107894897461,2006-11-16,AMER3.SA
